Region, Date, Frequency, Estimated Unemployment Rate (%), Estimated Employed, Estimated Labour Participation Rate (%)
Chandigarh, 28-02-2023, M, 6.00, 342639.00, 34.72
Chhattisgarh, 31-01-2016, M, 6.54, 2019505.00, 44.02
Chhattisgarh, 29-02-2016, M, 3.71, 1926920.00, 40.68
Chhattisgarh, 31-03-2016, M, 8.67, 2300322.00, 51.07
Chhattisgarh, 30-04-2016, M, 3.69, 2114469.00, 44.41
Chhattisgarh, 31-05-2016, M, 8.43, 2246501.00, 49.51
Chhattisgarh, 30-06-2016, M, 13.90, 2067550.00, 48.35
Chhattisgarh, 31-07-2016, M, 7.07, 2466609.00, 53.31
Chhattisgarh, 31-08-2016, M, 7.39, 2290292.00, 49.55
Chhattisgarh, 30-09-2016, M, 5.96, 2275689.00, 48.37
Chhattisgarh, 31-10-2016, M, 5.66, 2096396.00, 44.31
Chhattisgarh, 30-11-2016, M, 8.87, 2351519.00, 51.33
Chhattisgarh, 31-12-2016, M, 7.81, 2273419.00, 48.93
Chhattisgarh, 31-01-2017, M, 6.46, 2208653.00, 46.74
Chhattisgarh, 28-02-2017, M, 6.58, 1976789.00, 41.80
Chhattisgarh, 31-03-2017, M, 3.74, 2460073.00, 50.36
Chhattisgarh, 30-04-2017, M, 5.46, 2313971.00, 48.11
Chhattisgarh, 31-05-2017, M, 6.36, 2176420.00, 45.58
Chhattisgarh, 30-06-2017, M, 5.25, 2012672.00, 41.55
Chhattisgarh, 31-07-2017, M, 3.05, 2364438.00, 47.60
Chhattisgarh, 31-08-2017, M, 6.02, 2334101.00, 48.35
Chhattisgarh, 30-09-2017, M, 5.58, 2251146.00, 46.30
Chhattisgarh, 31-10-2017, M, 5.61, 2106830.00, 43.24
Chhattisgarh, 30-11-2017, M, 4.16, 2177431.00, 43.91
Chhattisgarh, 31-12-2017, M, 1.64, 2567083.00, 50.32
Chhattisgarh, 31-01-2018, M, 9.78, 2152923.00, 45.90
Chhattisgarh, 28-02-2018, M, 5.39, 2096165.00, 42.52
Chhattisgarh, 31-03-2018, M, 4.25, 2151407.00, 43.02
Chhattisgarh, 30-04-2018, M, 1.99, 2366776.00, 46.12
Chhattisgarh, 31-05-2018, M, 4.04, 2159176.00, 42.87
Chhattisgarh, 30-06-2018, M, 4.58, 2039737.00, 40.63
Chhattisgarh, 31-07-2018, M, 4.36, 2120155.00, 42.03
Chhattisgarh, 31-08-2018, M, 2.08, 2292225.00, 44.28
Chhattisgarh, 30-09-2018, M, 19.47, 2166437.00, 50.77
Chhattisgarh, 31-10-2018, M, 13.16, 2110463.00, 45.75
Chhattisgarh, 30-11-2018, M, 5.89, 2169398.00, 43.29
Chhattisgarh, 31-12-2018, M, 4.29, 2275804.00, 44.54
Chhattisgarh, 31-01-2019, M, 10.69, 2205021.00, 46.14
Chhattisgarh, 28-02-2019, M, 8.32, 2171227.00, 44.16
Chhattisgarh, 31-03-2019, M, 5.32, 2225929.00, 43.73
Chhattisgarh, 30-04-2019, M, 4.61, 2347217.00, 45.66
Chhattisgarh, 31-05-2019, M, 9.77, 2223128.00, 45.61
Chhattisgarh, 30-06-2019, M, 11.77, 2192019.00, 45.88
Chhattisgarh, 31-07-2019, M, 8.17, 2285435.00, 45.85
